Device ID,Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
38:e1:f4:48:8c:1e,2025-12-01 20:27:08,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2079 B1,Evolve M2
38:e1:f4:48:da:de,2025-12-01 20:27:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1087 B1,Evolve M2
18:0c:7a:8a:86:6e,2025-12-01 20:27:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1080,Evolve M2
38:e1:f4:48:8d:fe,2025-12-01 20:27:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1006,Evolve M2
18:0c:7a:8a:85:5d,2025-12-01 20:27:01,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1079,Evolve M2
38:e1:f4:48:8b:82,2025-12-01 20:26:58,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1004,Evolve M2
38:e1:f4:48:8b:23,2025-12-01 20:26:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2077 B2,Evolve M2
18:0c:7a:8a:86:7a,2025-12-01 20:26:51,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1041 B1,Evolve M2
38:e1:f4:48:80:68,2025-12-01 20:26:49,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2064 B1,Evolve M2
38:e1:f4:49:61:c7,2025-12-01 20:26:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2055 B1,Evolve M2
38:e1:f4:48:db:0b,2025-12-01 20:26:48,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1088 B2,Evolve M2
38:e1:f4:48:8c:f5,2025-12-01 20:26:45,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2083,Evolve M2
18:0c:7a:8a:8c:47,2025-12-01 20:26:45,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1008,Evolve M2
38:e1:f4:48:8d:d3,2025-12-01 20:26:37,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1004 B1,Evolve M2
38:e1:f4:48:94:15,2025-12-01 20:26:37,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1011 B2,Evolve M2
38:e1:f4:48:8e:1b,2025-12-01 20:26:37,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1002,Evolve M2
38:e1:f4:48:8b:44,2025-12-01 20:26:33,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2075 B1,Evolve M2
38:e1:f4:48:84:7e,2025-12-01 20:26:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2026 B1,Evolve M2
38:e1:f4:48:db:23,2025-12-01 20:26:28,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2022 B1,Evolve M2
8c:9a:8f:d9:ec:9d,2025-12-01 20:26:26,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2039,Evolve M2
38:e1:f4:48:d8:23,2025-12-01 20:26:26,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1088 B1,Evolve M2
38:e1:f4:48:92:7d,2025-12-01 20:26:25,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1031 B1,Evolve M2
38:e1:f4:48:93:dc,2025-12-01 20:26:24,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1049,Evolve M2
38:e1:f4:48:5d:0f,2025-12-01 20:26:20,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2025 B1,Evolve M2
38:e1:f4:48:8d:6e,2025-12-01 20:26:18,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1002 B2,Evolve M2
38:e1:f4:47:62:99,2025-12-01 20:26:17,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2030 B2,Evolve M2
38:e1:f4:48:db:3c,2025-12-01 20:26:15,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2020 B2,Evolve M2
38:e1:f4:49:84:b7,2025-12-01 20:26:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2057 B2,Evolve M2
38:e1:f4:48:db:a5,2025-12-01 20:26:13,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1069,Evolve M2
38:e1:f4:49:7e:b7,2025-12-01 20:26:09,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2055,Evolve M2
8c:9a:8f:d9:ec:e8,2025-12-01 20:26:07,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2035 B2,Evolve M2
38:e1:f4:48:92:89,2025-12-01 20:26:04,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1031,Evolve M2
38:e1:f4:49:84:9c,2025-12-01 20:26:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2054 B2,Evolve M2
38:e1:f4:48:7c:98,2025-12-01 20:26:03,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2015 B1,Evolve M2
38:e1:f4:48:82:fd,2025-12-01 20:26:02,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2008,Evolve M2
8c:9a:8f:d9:f4:1c,2025-12-01 20:25:59,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2042,Evolve M2
38:e1:f4:48:80:23,2025-12-01 20:25:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2058,Evolve M2
38:e1:f4:48:76:9c,2025-12-01 20:25:56,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2011 B2,Evolve M2
38:e1:f4:48:8b:61,2025-12-01 20:25:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,2071,Evolve M2
8c:9a:8f:d9:ea:a1,2025-12-01 20:25:54,B59XNftXnHy7Qum7aSkSbPdWPqgsT8o4,MVM743 - The Cliffs At Peace Canyon,1054 B1,Evolve M2
