Device ID,RSSI (dBm),Timestamp (EST - America/Atikokan (UTC-05:00)),Site ID,Site Name,Room Number,Device Type
58:68:7a:50:d1:12,-49.00,2026-01-16 15:49:53,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,254,Evolve M1
58:68:7a:4d:fe:25,-56.00,2026-01-16 15:49:45,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE,Evolve M1
58:68:7a:4d:f8:24,-53.00,2026-01-16 15:49:45,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,267,Evolve M1
58:68:7a:50:d1:e1,-56.00,2026-01-16 15:49:25,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,163   tz,Evolve M1
58:68:7a:50:ca:a9,-48.00,2026-01-16 15:49:23,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:cd:bf,-63.00,2026-01-16 15:49:16,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,105,Evolve M1
58:68:7a:50:ca:9a,-49.00,2026-01-16 15:48:43,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,209,Evolve M1
58:68:7a:50:d0:61,-44.00,2026-01-16 15:48:41,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,276,Evolve M1
58:68:7a:50:cc:16,-54.00,2026-01-16 15:48:27,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,213,Evolve M1
58:68:7a:50:ca:c4,-51.00,2026-01-16 15:48:21,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,120,Evolve M1
58:68:7a:50:cc:3b,-52.00,2026-01-16 15:48:16,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,131,Evolve M1
58:68:7a:50:cd:98,-58.00,2026-01-16 15:48:11,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,237,Evolve M1
58:68:7a:50:ca:91,-55.00,2026-01-16 15:47:33,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,#231,Evolve M1
58:68:7a:50:cc:75,-52.00,2026-01-16 15:47:29,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,133,Evolve M1
58:68:7a:50:d1:48,-52.00,2026-01-16 15:47:18,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,279,Evolve M1
58:68:7a:50:cc:43,-49.00,2026-01-16 15:47:05,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:ca:d9,-55.00,2026-01-16 15:47:00,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,128,Evolve M1
58:68:7a:50:d1:b4,-57.00,2026-01-16 15:46:40,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,169,Evolve M1
58:68:7a:4d:fc:ec,-44.00,2026-01-16 15:46:40,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,233,Evolve M1
58:68:7a:50:cd:b4,-53.00,2026-01-16 15:46:39,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,229,Evolve M1
58:68:7a:4d:fd:8e,-64.00,2026-01-16 15:46:05,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,jesus,Evolve M1
58:68:7a:4d:fd:ee,-58.00,2026-01-16 15:45:41,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,141,Evolve M1
58:68:7a:50:d2:5a,-61.00,2026-01-16 15:45:13,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,159,Evolve M1
58:68:7a:50:cc:64,-48.00,2026-01-16 15:45:05,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,EVOLVE 2,Evolve M1
58:68:7a:50:ca:ca,-54.00,2026-01-16 15:45:03,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,104,Evolve M1
58:68:7a:50:cc:2c,-54.00,2026-01-16 15:45:02,dc8uoVDOXtKVVL5zB4XZs4AkT0rw1s2T,MVM580 - Red Roof Inn Montgomery,228,Evolve M1
