icx_label,ethernet_mac,wifi_mac_derived,last_seen_icx,days_since,mdns_label,mdns_mac,mdns_ip,mdns_note,labeling_correction,source,room,site,lockout,reswept,reswept_at
104A@L,10:2b:aa:50:31:fc,10:2b:aa:50:31:fd,2026-08-07 09:01:55,0.01,104A@L,10:2b:aa:50:31:fd,192.168.202.116,,,iCX,104A,MVM784,104,yes,2026-07-31T20:49:43.412Z
104B@B,10:2b:aa:50:3c:af,10:2b:aa:50:3c:b0,2026-08-07 09:04:48,0.01,104B@B,10:2b:aa:50:3c:b0,192.168.200.233,,,iCX,104B,MVM784,104,yes,2026-07-30T22:35:48.346Z
104B@L,10:2b:aa:50:3c:94,10:2b:aa:50:3c:95,2026-08-07 09:08:11,0.0,104B@L,10:2b:aa:50:3c:95,192.168.202.148,,,iCX,104B,MVM784,104,yes,2026-07-30T22:35:48.346Z
105A@B,10:2b:aa:50:3d:27,10:2b:aa:50:3d:28,2026-08-07 09:07:13,0.01,105A@B,10:2b:aa:50:3d:28,192.168.200.154,,,iCX,105A,MVM784,105,yes,2026-07-30T22:33:01.579Z
105A@L,10:2b:aa:50:39:3a,10:2b:aa:50:39:3b,2026-08-07 09:04:48,0.01,105A@L,10:2b:aa:50:39:3b,192.168.201.7,,,iCX,105A,MVM784,105,yes,2026-07-30T22:33:01.579Z
105B@B,10:2b:aa:50:3a:12,10:2b:aa:50:3a:13,2026-08-07 09:09:43,0.0,105B@B,10:2b:aa:50:3a:13,192.168.201.57,,,iCX,105B,MVM784,105,yes,2026-07-30T22:34:01.898Z
105B@L,10:2b:aa:50:39:df,10:2b:aa:50:39:e0,2026-08-07 09:01:52,0.01,105B@L,10:2b:aa:50:39:e0,192.168.201.24,,,iCX,105B,MVM784,105,yes,2026-07-30T22:34:01.898Z
1101A@B,10:2b:aa:50:3c:d0,10:2b:aa:50:3c:d1,2026-08-07 09:14:39,0.0,1101A@B,10:2b:aa:50:3c:d1,192.168.203.17,,,iCX,1101A,MVM784,1101,yes,2026-07-30T17:10:02.725Z
1101A@L,10:2b:aa:50:31:ab,10:2b:aa:50:31:ac,2026-08-07 09:08:01,0.0,1101A@L,10:2b:aa:50:31:ac,192.168.203.180,,,iCX,1101A,MVM784,1101,yes,2026-07-30T17:10:02.725Z
1101B@B,10:2b:aa:51:ea:fd,10:2b:aa:51:ea:fe,2026-08-07 09:02:34,0.01,1101B@B,10:2b:aa:51:ea:fe,192.168.201.112,,,iCX,1101B,MVM784,1101,yes,2026-07-31T17:12:22.675Z
1101B@L,10:2b:aa:51:ea:df,10:2b:aa:51:ea:e0,2026-08-07 09:04:16,0.01,1101B@L,10:2b:aa:51:ea:e0,192.168.200.17,,,iCX,1101B,MVM784,1101,yes,2026-07-31T17:12:22.675Z
1101S@B,10:2b:aa:50:32:23,10:2b:aa:50:32:24,2026-08-07 09:05:49,0.01,1101S@B,10:2b:aa:50:32:24,192.168.202.155,,,iCX,1101S,MVM784,1101,yes,2026-07-30T17:12:30.909Z
1101S@L,10:2b:aa:50:04:cf,10:2b:aa:50:04:d0,2026-08-07 09:08:07,0.0,1101S@L,10:2b:aa:50:04:d0,192.168.202.149,,,iCX,1101S,MVM784,1101,yes,2026-07-30T17:12:30.909Z
1102A@B,10:2b:aa:51:e9:74,10:2b:aa:51:e9:75,2026-08-07 09:10:31,0.0,1102A@B,10:2b:aa:51:e9:75,192.168.203.253,,,iCX,1102A,MVM784,1102,yes,2026-08-01T18:57:50.611Z
1102A@L,10:2b:aa:51:e7:94,10:2b:aa:51:e7:95,2026-08-07 09:00:34,0.01,1102A@L,10:2b:aa:51:e7:95,192.168.202.75,,,iCX,1102A,MVM784,1102,yes,2026-08-01T18:57:50.611Z
1102B@L,10:2b:aa:50:3d:ea,10:2b:aa:50:3d:eb,2026-08-07 09:03:12,0.01,1102B@L,10:2b:aa:50:3d:eb,192.168.201.185,,,iCX,1102B,MVM784,1102,yes,2026-08-01T19:01:45.464Z
1102B@L,10:2b:aa:51:ea:d6,10:2b:aa:51:ea:d7,2026-08-07 09:02:03,0.01,1102B@L,10:2b:aa:51:ea:d7,192.168.200.63,,,iCX,1102B,MVM784,1102,yes,2026-08-01T19:01:45.464Z
