mac,room,ip,stb_id,mac_is_randomized
8c:9a:8f:d9:ef:de,2045,192.168.213.147,474023,False
38:e1:f4:48:db:40,2019@L,192.168.213.168,474024,False
38:e1:f4:48:91:5d,2068@B1,192.168.212.164,474025,False
ee:17:8d:b6:19:50,2086,192.168.213.19,474026,True
fa:4c:d6:99:b4:42,2016,192.168.212.218,474027,True
b2:cc:40:67:13:37,1008,192.168.212.112,474028,True
e6:e9:4e:d7:17:21,1036,192.168.213.70,474029,True
8c:9a:8f:d9:ed:40,2057,192.168.213.204,474030,False
38:e1:f4:48:81:a4,2015,192.168.213.33,474031,False
62:56:5e:9d:68:74,1082 B2,192.168.213.45,474032,True
38:e1:f4:48:db:03,1083,192.168.212.129,474033,False
38:e1:f4:48:8e:19,1003@B1,192.168.212.235,474034,False
38:e1:f4:48:db:00,1086@L,192.168.213.145,474035,False
38:e1:f4:48:8a:f9,2075,192.168.213.21,474036,False
1a:60:6e:53:8c:36,1080,192.168.213.88,474037,True
38:e1:f4:48:8b:c7,1006@B2,192.168.213.226,474039,False
8c:9a:8f:d9:e7:6b,2040,192.168.213.185,474040,False
18:0c:7a:8a:86:7e,1075@L,192.168.213.229,474041,False
38:e1:f4:48:7c:34,2061,192.168.212.181,474042,False
a2:84:29:f2:60:c2,1047,192.168.212.24,474043,True
92:18:0f:27:3e:51,1057,192.168.213.7,474044,True
52:1b:c2:75:04:08,2041,192.168.213.122,474045,True
38:e1:f4:48:85:9f,1061@L,192.168.212.85,474047,False
38:e1:f4:48:8c:91,2078,192.168.212.21,474048,False
38:e1:f4:49:84:a3,2056@L,192.168.213.182,474049,False
18:0c:7a:8a:86:7b,1041@B1,192.168.212.106,474050,False
18:0c:7a:8a:8a:1d,1058,192.168.213.253,474051,False
38:e1:f4:48:85:51,1064,192.168.213.235,474052,False
38:e1:f4:48:da:dc,2021,192.168.213.176,474054,False
62:4f:71:2e:c9:f0,1069,192.168.212.47,474055,True
3e:26:0c:37:b0:bb,2001,192.168.212.46,474056,True
38:e1:f4:48:92:57,1029@B1,192.168.213.126,474057,False
38:e1:f4:48:db:1e,1084@B2,192.168.212.141,474059,False
38:e1:f4:48:83:9e,2026,192.168.213.200,474060,False
38:e1:f4:48:84:e0,1063,192.168.212.189,474061,False
38:e1:f4:48:8b:86,1005@B2,192.168.213.141,474062,False
8c:9a:8f:d9:ec:e9,2035,192.168.212.255,474063,False
38:e1:f4:48:db:6a,2017@B2,192.168.212.152,474064,False
8c:9a:8f:d9:f4:00,2046,192.168.213.163,474066,False
26:b5:71:65:b9:e9,1083,192.168.212.133,474067,True
38:e1:f4:48:87:f6,2064,192.168.212.36,474068,False
38:e1:f4:48:81:11,2062@B1,192.168.213.179,474070,False
12:4b:0b:05:d5:68,2058,192.168.212.207,474072,True
96:85:6f:a5:1e:24,1019,192.168.213.16,474073,True
8c:9a:8f:d9:f3:78,2048 B1,192.168.212.168,474074,False
8c:9a:8f:d9:f3:ac,2040,192.168.212.239,474075,False
4a:0f:2a:7b:94:8d,1084,192.168.212.101,474076,True
38:e1:f4:48:8a:dc,2077,192.168.212.150,474077,False
38:e1:f4:48:87:1a,2080@B2,192.168.213.69,474078,False
12:00:93:68:47:3e,2013,192.168.213.53,474079,True
38:e1:f4:48:8e:33,2067,192.168.213.4,474080,False
38:e1:f4:48:8c:1f,2079,192.168.212.95,474081,False
8c:9a:8f:d9:ec:7b,1056,192.168.213.6,474082,False
b2:51:ed:d1:46:c3,2038,192.168.213.28,474083,True
8c:9a:8f:d9:f3:d3,2049@B1,192.168.213.97,474084,False
ca:92:c5:8b:35:bb,1079,192.168.213.220,474085,True
96:f7:01:bf:9e:a8,1059,192.168.213.234,474086,True
1a:1e:f4:af:7f:97,1064,192.168.213.207,474087,True
b2:50:c3:c4:54:3e,1,192.168.213.193,474089,True
96:46:c8:b2:03:67,1040,192.168.212.250,474090,True
38:e1:f4:49:84:c7,2054@L,192.168.213.240,474091,False
38:e1:f4:48:70:5f,2031@B2,192.168.212.61,474092,False
38:e1:f4:48:81:f8,2012@B1,192.168.212.138,474093,False
18:0c:7a:8a:86:54,1039,192.168.212.80,474095,False
38:e1:f4:48:db:52,2023@L,192.168.212.154,474097,False
38:e1:f4:48:90:d8,2066,192.168.213.64,474098,False
38:e1:f4:48:db:5b,2017@L,192.168.212.169,474099,False
38:e1:f4:48:db:a6,1069@L,192.168.212.210,474100,False
18:0c:7a:8a:86:a8,1039,192.168.213.195,474101,False
